Name of Society,Address,State,District,Date of Registration,Area of Operation_x,Sector Type,Area of Operation_y
Ente Naadu Multi State Agro Co- operative Society Ltd.,"ST George High School, Aluva- Munnar Road, Kothamangalam, Ernakulam,
686691, Kerala",KERALA,ERNAKULAM,2022-03-02,"Haryana, Gujarat, Maharashtra, Delhi",Agro,gujarat
Ente Naadu Multi State Agro Co- operative Society Ltd.,"ST George High School, Aluva- Munnar Road, Kothamangalam, Ernakulam,
686691, Kerala",KERALA,ERNAKULAM,2022-03-02,"Haryana, Gujarat, Maharashtra, Delhi",Agro,maharashtra
Ente Naadu Multi State Agro Co- operative Society Ltd.,"ST George High School, Aluva- Munnar Road, Kothamangalam, Ernakulam,
686691, Kerala",KERALA,ERNAKULAM,2022-03-02,"Haryana, Gujarat, Maharashtra, Delhi",Agro,delhi
Rajsidhi Cooperative Cotton & Agro Industries Ltd,"Ahmednagar 414401, Maharashtra",MAHARASHTRA,AHMEDNAGAR,2022-12-01,"Maharashtra, Gujarat, Rajasthan",Agro,maharashtra
Rajsidhi Cooperative Cotton & Agro Industries Ltd,"Ahmednagar 414401, Maharashtra",MAHARASHTRA,AHMEDNAGAR,2022-12-01,"Maharashtra, Gujarat, Rajasthan",Agro,gujarat
Rajsidhi Cooperative Cotton & Agro Industries Ltd,"Ahmednagar 414401, Maharashtra",MAHARASHTRA,AHMEDNAGAR,2022-12-01,"Maharashtra, Gujarat, Rajasthan",Agro,rajasthan
Natural Agro Farming Multi State Cooperative Society Ltd.,"D77, S/F, East of Kailash, New delhi 110065",NEW DELHI,NEW DELHI,2022-12-01,"Kerala, karnataka, Maharashtra, Gujarat",Agro,kerala
Natural Agro Farming Multi State Cooperative Society Ltd.,"D77, S/F, East of Kailash, New delhi 110065",NEW DELHI,NEW DELHI,2022-12-01,"Kerala, karnataka, Maharashtra, Gujarat",Agro,karnataka
Natural Agro Farming Multi State Cooperative Society Ltd.,"D77, S/F, East of Kailash, New delhi 110065",NEW DELHI,NEW DELHI,2022-12-01,"Kerala, karnataka, Maharashtra, Gujarat",Agro,maharashtra
Natural Agro Farming Multi State Cooperative Society Ltd.,"D77, S/F, East of Kailash, New delhi 110065",NEW DELHI,NEW DELHI,2022-12-01,"Kerala, karnataka, Maharashtra, Gujarat",Agro,gujarat
Mansa Development Cooperative Society Ltd,"41 Sukh Sagar, phase 4 colony, near Mittal College, Rasal, Kharod Bhopal 38, Madhya Pradesh",MADHYA PRADESH,BHOPAL,2021-12-10,"Haryana, Delhi",Agro,haryana
Mansa Development Cooperative Society Ltd,"41 Sukh Sagar, phase 4 colony, near Mittal College, Rasal, Kharod Bhopal 38, Madhya Pradesh",MADHYA PRADESH,BHOPAL,2021-12-10,"Haryana, Delhi",Agro,delhi
Om Agro Multi State Cooperative society Ltd,Ahulana (Gohana) Sonipat Haryana 131301,HARYANA,SONIPAT,2021-11-22,"Haryana, Delhi",Agro,haryana
Om Agro Multi State Cooperative society Ltd,Ahulana (Gohana) Sonipat Haryana 131301,HARYANA,SONIPAT,2021-11-22,"Haryana, Delhi",Agro,delhi
Ramchandra Multi Speciality Cooperative Hospital & Research Center Ltd,"S.No. 2/2, Near SBI bank, Savakar Colony, Islampur, Walwa, Sangli 415409,
Maharashtra",MAHARASHTRA,SANGLI,2021-10-11,"Haryana, UttarPradesh, Himachal, Punjab",Health/Hospital,haryana
Ramchandra Multi Speciality Cooperative Hospital & Research Center Ltd,"S.No. 2/2, Near SBI bank, Savakar Colony, Islampur, Walwa, Sangli 415409,
Maharashtra",MAHARASHTRA,SANGLI,2021-10-11,"Haryana, UttarPradesh, Himachal, Punjab",Health/Hospital,uttarpradesh
Ramchandra Multi Speciality Cooperative Hospital & Research Center Ltd,"S.No. 2/2, Near SBI bank, Savakar Colony, Islampur, Walwa, Sangli 415409,
Maharashtra",MAHARASHTRA,SANGLI,2021-10-11,"Haryana, UttarPradesh, Himachal, Punjab",Health/Hospital,himachal pradesh
Ramchandra Multi Speciality Cooperative Hospital & Research Center Ltd,"S.No. 2/2, Near SBI bank, Savakar Colony, Islampur, Walwa, Sangli 415409,
Maharashtra",MAHARASHTRA,SANGLI,2021-10-11,"Haryana, UttarPradesh, Himachal, Punjab",Health/Hospital,punjab
Mudra Agriculture & Skill Development Multistate Cooperative Society Ltd,"15-A, 3-4-757/22, APHB Building Near Raghavendra Swamy Temple Opposite Telangana Grameena Bank, Barkatputra, Hyderabad 500027",TELANGANA,ADILABAD,2017-12-04,"Bihar, West bengal, Odisha",Agro,bihar
Mudra Agriculture & Skill Development Multistate Cooperative Society Ltd,"15-A, 3-4-757/22, APHB Building Near Raghavendra Swamy Temple Opposite Telangana Grameena Bank, Barkatputra, Hyderabad 500027",TELANGANA,ADILABAD,2017-12-04,"Bihar, West bengal, Odisha",Agro,west bengal
Mudra Agriculture & Skill Development Multistate Cooperative Society Ltd,"15-A, 3-4-757/22, APHB Building Near Raghavendra Swamy Temple Opposite Telangana Grameena Bank, Barkatputra, Hyderabad 500027",TELANGANA,ADILABAD,2017-12-04,"Bihar, West bengal, Odisha",Agro,odisha
The Bhuj Mercantile Coop. Bank Ltd,"Vyapar Bhawan, Mithakhali 6 Roads, Ahmedabad-380006(Gujarat)",GUJARAT,AHMADABAD,2021-09-14,"Tamil Nadu, karnataks",Cooperative Bank,tamil nadu
The Bhuj Mercantile Coop. Bank Ltd,"Vyapar Bhawan, Mithakhali 6 Roads, Ahmedabad-380006(Gujarat)",GUJARAT,AHMADABAD,2021-09-14,"Tamil Nadu, karnataks",Cooperative Bank,karnataks
Heaven Multi State Agro Cooperative Society Ltd,"Kh No 403, Babhani Nagar, Andar, Sominath Nagar, Ward No. 7, Deoria Kasiya Bypass Road, Deoria , Uttar Pradesh 274001",UTTAR PRADESH,MORADABAD,2021-09-14,"Haryana, Punajb",Agro,haryana
Heaven Multi State Agro Cooperative Society Ltd,"Kh No 403, Babhani Nagar, Andar, Sominath Nagar, Ward No. 7, Deoria Kasiya Bypass Road, Deoria , Uttar Pradesh 274001",UTTAR PRADESH,MORADABAD,2021-09-14,"Haryana, Punajb",Agro,punajb
The Sutex Cooperative Bank Ltd,"Surjaram, Bachkaniwala Bhawan, Near Navjivan Circle, Udhana Magdalla Road, Surat 395017 Gujarat",GUJARAT,VALSAD,2021-09-14,"Manipur, Meghalaya",Cooperative Bank,manipur
The Sutex Cooperative Bank Ltd,"Surjaram, Bachkaniwala Bhawan, Near Navjivan Circle, Udhana Magdalla Road, Surat 395017 Gujarat",GUJARAT,VALSAD,2021-09-14,"Manipur, Meghalaya",Cooperative Bank,meghalaya
The Navbharat Multi State Agro Farming and Marketing Cooperative Society Ltd,"Shop No 112, Floor-I, Sharda Arcade, Paliyad Road, Batod Gujarat",GUJARAT,BATOD,2021-09-08,"Maharashtra, Gujarat, Rajasthan",Agro,maharashtra
The Navbharat Multi State Agro Farming and Marketing Cooperative Society Ltd,"Shop No 112, Floor-I, Sharda Arcade, Paliyad Road, Batod Gujarat",GUJARAT,BATOD,2021-09-08,"Maharashtra, Gujarat, Rajasthan",Agro,gujarat
The Navbharat Multi State Agro Farming and Marketing Cooperative Society Ltd,"Shop No 112, Floor-I, Sharda Arcade, Paliyad Road, Batod Gujarat",GUJARAT,BATOD,2021-09-08,"Maharashtra, Gujarat, Rajasthan",Agro,rajasthan
"BharathiMana Fishermen development Cooperative Society ltd.
(BHARATHIMANACO)","Kha- Potshangham Maning, Leikai, PO & PS Bishnupur 795126 Manipur",MANIPUR,BISHNUPUR,2021-06-07,"Gujarat, Rajasthan",Fisheries,gujarat
"BharathiMana Fishermen development Cooperative Society ltd.
(BHARATHIMANACO)","Kha- Potshangham Maning, Leikai, PO & PS Bishnupur 795126 Manipur",MANIPUR,BISHNUPUR,2021-06-07,"Gujarat, Rajasthan",Fisheries,rajasthan
Agrovision Farmer Multi State Cooperative Society Ltd.,"H.No 3, Gate No 1, Krishna Colony, Near Universal School, Gorakhpur Kasya Road, Deoria, Uttar Pradesh 274001",UTTAR PRADESH,DEORIA,2021-05-27,"Maharashtra,Goa,Karnataka, Andhra Pradesh",Agro,maharashtra
Agrovision Farmer Multi State Cooperative Society Ltd.,"H.No 3, Gate No 1, Krishna Colony, Near Universal School, Gorakhpur Kasya Road, Deoria, Uttar Pradesh 274001",UTTAR PRADESH,DEORIA,2021-05-27,"Maharashtra,Goa,Karnataka, Andhra Pradesh",Agro,goa
Agrovision Farmer Multi State Cooperative Society Ltd.,"H.No 3, Gate No 1, Krishna Colony, Near Universal School, Gorakhpur Kasya Road, Deoria, Uttar Pradesh 274001",UTTAR PRADESH,DEORIA,2021-05-27,"Maharashtra,Goa,Karnataka, Andhra Pradesh",Agro,karnataka
Agrovision Farmer Multi State Cooperative Society Ltd.,"H.No 3, Gate No 1, Krishna Colony, Near Universal School, Gorakhpur Kasya Road, Deoria, Uttar Pradesh 274001",UTTAR PRADESH,DEORIA,2021-05-27,"Maharashtra,Goa,Karnataka, Andhra Pradesh",Agro,andhra pradesh
Chitrakoot Multi State Agriculture Marketing Cooperative Society Ltd. (CMAMCS),"H.No 104, Village & Post Sahewa, thana-
Girwan, Tehsil Atarra, Banda, Uttar Pradesh 210120",UTTAR PRADESH,BANDA,2021-04-29,"Andhra Pradesh, Telangna",Agro,andhra pradesh
Chitrakoot Multi State Agriculture Marketing Cooperative Society Ltd. (CMAMCS),"H.No 104, Village & Post Sahewa, thana-
Girwan, Tehsil Atarra, Banda, Uttar Pradesh 210120",UTTAR PRADESH,BANDA,2021-04-29,"Andhra Pradesh, Telangna",Agro,telangna
CP Agrotech Multi State Cooperative Society Ltd.,"C/O Manoj Kumar, Mohalla-Kannon Goyan, Kasba- Jhinjhana, Jhinjhana Rural, Shamli, Uttar Pradesh 247773",UTTAR PRADESH,MUZAFFARNAGAR,2021-03-16,"Madhya Pradesh, Chhatisgarh, Jharkhan, Bihar",Agro,madhya pradesh
CP Agrotech Multi State Cooperative Society Ltd.,"C/O Manoj Kumar, Mohalla-Kannon Goyan, Kasba- Jhinjhana, Jhinjhana Rural, Shamli, Uttar Pradesh 247773",UTTAR PRADESH,MUZAFFARNAGAR,2021-03-16,"Madhya Pradesh, Chhatisgarh, Jharkhan, Bihar",Agro,chhattisgarh
CP Agrotech Multi State Cooperative Society Ltd.,"C/O Manoj Kumar, Mohalla-Kannon Goyan, Kasba- Jhinjhana, Jhinjhana Rural, Shamli, Uttar Pradesh 247773",UTTAR PRADESH,MUZAFFARNAGAR,2021-03-16,"Madhya Pradesh, Chhatisgarh, Jharkhan, Bihar",Agro,jharkhand
CP Agrotech Multi State Cooperative Society Ltd.,"C/O Manoj Kumar, Mohalla-Kannon Goyan, Kasba- Jhinjhana, Jhinjhana Rural, Shamli, Uttar Pradesh 247773",UTTAR PRADESH,MUZAFFARNAGAR,2021-03-16,"Madhya Pradesh, Chhatisgarh, Jharkhan, Bihar",Agro,bihar
"Simplydesi Selfhelp Products, Processing and Marketing Multi State Cooperative Society Ltd","52, Ananda Park Extension, East Punjabi Bagh, New Delhi 110026",NEW DELHI,NEW DELHI,2021-02-24,"Maharashtra, Gujarat, Rajasthan",Fisheries,maharashtra
"Simplydesi Selfhelp Products, Processing and Marketing Multi State Cooperative Society Ltd","52, Ananda Park Extension, East Punjabi Bagh, New Delhi 110026",NEW DELHI,NEW DELHI,2021-02-24,"Maharashtra, Gujarat, Rajasthan",Fisheries,gujarat
"Simplydesi Selfhelp Products, Processing and Marketing Multi State Cooperative Society Ltd","52, Ananda Park Extension, East Punjabi Bagh, New Delhi 110026",NEW DELHI,NEW DELHI,2021-02-24,"Maharashtra, Gujarat, Rajasthan",Fisheries,rajasthan
Bharati North East Fisherman Co-operative Ltd. (BHARATICO),"C/O Swambha Basumatary, near Simlaguri Post Office, Simlaguri, Dhaliagaon,
Chirang(BTR), Assam 783381",ASSAM,CHIRANG,2021-02-15,"Gujarat, Rajasthan",Fisheries,gujarat
Bharati North East Fisherman Co-operative Ltd. (BHARATICO),"C/O Swambha Basumatary, near Simlaguri Post Office, Simlaguri, Dhaliagaon,
Chirang(BTR), Assam 783381",ASSAM,CHIRANG,2021-02-15,"Gujarat, Rajasthan",Fisheries,rajasthan
Chambal Agriculture Marketing Cooperative Ltd,"525, rajput Nagar, Bharouli road, Bhind, Madhya Pradesh 477001",MADHYA PRADESH,BHIND,2021-01-15,"Haryana, Delhi",Marketing,haryana
Chambal Agriculture Marketing Cooperative Ltd,"525, rajput Nagar, Bharouli road, Bhind, Madhya Pradesh 477001",MADHYA PRADESH,BHIND,2021-01-15,"Haryana, Delhi",Marketing,delhi
Sharda Agro Multi State Cooperative Society Ltd,"Bhopal, Madhya Pradesh",MADHYA PRADESH,BHOPAL,2020-12-14,"Haryana, Delhi, UttarPradesh, ",Agro,haryana
Sharda Agro Multi State Cooperative Society Ltd,"Bhopal, Madhya Pradesh",MADHYA PRADESH,BHOPAL,2020-12-14,"Haryana, Delhi, UttarPradesh, ",Agro,delhi
Sharda Agro Multi State Cooperative Society Ltd,"Bhopal, Madhya Pradesh",MADHYA PRADESH,BHOPAL,2020-12-14,"Haryana, Delhi, UttarPradesh, ",Agro,uttarpradesh
"N E Railway Cooperative Credit Society Ltd,","Chief Worshop Manager Office, NE Railway, Izzatnagar, Bareilly, Uttar Pradesh",UTTAR PRADESH,BAREILLY,2020-11-24,"Uttrakhand, Himachal Pradesh, Jammu & Kashmir",Credit,uttrakhand
"N E Railway Cooperative Credit Society Ltd,","Chief Worshop Manager Office, NE Railway, Izzatnagar, Bareilly, Uttar Pradesh",UTTAR PRADESH,BAREILLY,2020-11-24,"Uttrakhand, Himachal Pradesh, Jammu & Kashmir",Credit,himachal pradesh
"N E Railway Cooperative Credit Society Ltd,","Chief Worshop Manager Office, NE Railway, Izzatnagar, Bareilly, Uttar Pradesh",UTTAR PRADESH,BAREILLY,2020-11-24,"Uttrakhand, Himachal Pradesh, Jammu & Kashmir",Credit,jammu & kashmir
Ramraja Multi state Agro Cooperative Society ltd.,"102, Eligent Tower, Royal City, Shivpuri Road, Jhansi, 284003 Uttar Pradesh",UTTAR PRADESH,JHANSI,2020-12-11,"Maharashtra, Gujarat, Rajasthan",Agro,maharashtra
Ramraja Multi state Agro Cooperative Society ltd.,"102, Eligent Tower, Royal City, Shivpuri Road, Jhansi, 284003 Uttar Pradesh",UTTAR PRADESH,JHANSI,2020-12-11,"Maharashtra, Gujarat, Rajasthan",Agro,gujarat
Ramraja Multi state Agro Cooperative Society ltd.,"102, Eligent Tower, Royal City, Shivpuri Road, Jhansi, 284003 Uttar Pradesh",UTTAR PRADESH,JHANSI,2020-12-11,"Maharashtra, Gujarat, Rajasthan",Agro,rajasthan
Vitthal Rao Shinde Sahakari Sahkar Karkhana Ltd,"Gangamainagar, Post Pimpalner, Taluka Madha, Solapur, 413210 Maharashtra",MAHARASHTRA,SOLAPUR,2020-05-11,"Haryana, Punjab, Rajasthan",Industrial/Textile,haryana
Vitthal Rao Shinde Sahakari Sahkar Karkhana Ltd,"Gangamainagar, Post Pimpalner, Taluka Madha, Solapur, 413210 Maharashtra",MAHARASHTRA,SOLAPUR,2020-05-11,"Haryana, Punjab, Rajasthan",Industrial/Textile,punjab
Vitthal Rao Shinde Sahakari Sahkar Karkhana Ltd,"Gangamainagar, Post Pimpalner, Taluka Madha, Solapur, 413210 Maharashtra",MAHARASHTRA,SOLAPUR,2020-05-11,"Haryana, Punjab, Rajasthan",Industrial/Textile,rajasthan
Ambika Multi State Health Service for the Weaker Section Cooperative Society Ltd,"Sai Illam, Floor-2, 53/2, Bharatheshwarar,
3rd Street, Kodambakkam, Chennai 600024, Tamil Nadu",TAMIL NADU,CHENNAI,2020-09-14,"Haryana, Rajasthan",Agro,haryana
Ambika Multi State Health Service for the Weaker Section Cooperative Society Ltd,"Sai Illam, Floor-2, 53/2, Bharatheshwarar,
3rd Street, Kodambakkam, Chennai 600024, Tamil Nadu",TAMIL NADU,CHENNAI,2020-09-14,"Haryana, Rajasthan",Agro,rajasthan
The UP Kisan Development cooperative Society Ltd,"65, Bheem Nagar, Vijay Khand 2, Gomti Nagar, Lucknow-226010, Uttar Pradesh",UTTAR PRADESH,LUCKNOW,2020-10-08,"Gujarat, Rajasthan, Haryana, Delhi",Agro,gujarat
The UP Kisan Development cooperative Society Ltd,"65, Bheem Nagar, Vijay Khand 2, Gomti Nagar, Lucknow-226010, Uttar Pradesh",UTTAR PRADESH,LUCKNOW,2020-10-08,"Gujarat, Rajasthan, Haryana, Delhi",Agro,rajasthan
The UP Kisan Development cooperative Society Ltd,"65, Bheem Nagar, Vijay Khand 2, Gomti Nagar, Lucknow-226010, Uttar Pradesh",UTTAR PRADESH,LUCKNOW,2020-10-08,"Gujarat, Rajasthan, Haryana, Delhi",Agro,haryana
The UP Kisan Development cooperative Society Ltd,"65, Bheem Nagar, Vijay Khand 2, Gomti Nagar, Lucknow-226010, Uttar Pradesh",UTTAR PRADESH,LUCKNOW,2020-10-08,"Gujarat, Rajasthan, Haryana, Delhi",Agro,delhi
Farmtrade Agro Multi state Marketing Cooperative Ltd,"B-92. Mayfiels Garden Sector 48, Gurugram- 122002",HARYANA,GURGAON,2020-10-08,"Kerala, karnataka, Maharashtra, Gujarat",Marketing,kerala
Farmtrade Agro Multi state Marketing Cooperative Ltd,"B-92. Mayfiels Garden Sector 48, Gurugram- 122002",HARYANA,GURGAON,2020-10-08,"Kerala, karnataka, Maharashtra, Gujarat",Marketing,karnataka
Farmtrade Agro Multi state Marketing Cooperative Ltd,"B-92. Mayfiels Garden Sector 48, Gurugram- 122002",HARYANA,GURGAON,2020-10-08,"Kerala, karnataka, Maharashtra, Gujarat",Marketing,maharashtra
Farmtrade Agro Multi state Marketing Cooperative Ltd,"B-92. Mayfiels Garden Sector 48, Gurugram- 122002",HARYANA,GURGAON,2020-10-08,"Kerala, karnataka, Maharashtra, Gujarat",Marketing,gujarat
Bihar State handloom Weavers Cooperative Union Ltd (BISHCOTEX),"Handloom Bhawan, Rajendra Place, Patna, Bihar",BIHAR,PATNA,2020-07-14,"Maharashtra, Karnataka, Tamil nadu",Agro,maharashtra
Bihar State handloom Weavers Cooperative Union Ltd (BISHCOTEX),"Handloom Bhawan, Rajendra Place, Patna, Bihar",BIHAR,PATNA,2020-07-14,"Maharashtra, Karnataka, Tamil nadu",Agro,karnataka
Bihar State handloom Weavers Cooperative Union Ltd (BISHCOTEX),"Handloom Bhawan, Rajendra Place, Patna, Bihar",BIHAR,PATNA,2020-07-14,"Maharashtra, Karnataka, Tamil nadu",Agro,tamil nadu
Radhika Agricultural Cooperative Society Ltd,"Swami Puran Colony, Nai Basti, Jhansi 284002, Uttar Pradesh",UTTAR PRADESH,JHANSI,2020-04-24,"Haryana, Gujarat, Maharashtra, Delhi",Agro,haryana
Radhika Agricultural Cooperative Society Ltd,"Swami Puran Colony, Nai Basti, Jhansi 284002, Uttar Pradesh",UTTAR PRADESH,JHANSI,2020-04-24,"Haryana, Gujarat, Maharashtra, Delhi",Agro,gujarat
Radhika Agricultural Cooperative Society Ltd,"Swami Puran Colony, Nai Basti, Jhansi 284002, Uttar Pradesh",UTTAR PRADESH,JHANSI,2020-04-24,"Haryana, Gujarat, Maharashtra, Delhi",Agro,maharashtra
Radhika Agricultural Cooperative Society Ltd,"Swami Puran Colony, Nai Basti, Jhansi 284002, Uttar Pradesh",UTTAR PRADESH,JHANSI,2020-04-24,"Haryana, Gujarat, Maharashtra, Delhi",Agro,delhi
Farm to Foreign Exports Entrepreneur Development Multi State Cooperative Society Ltd,"H.No. 6-9, Gundugolanu(P.O), Bhimadole (Mandal), Andhra Pradesh-534427",ANDHRA PRADESH,WEST GODAVARI,2020-01-16,"Haryana, UttarPradesh, Himachal, Punjab",Agro,haryana
Farm to Foreign Exports Entrepreneur Development Multi State Cooperative Society Ltd,"H.No. 6-9, Gundugolanu(P.O), Bhimadole (Mandal), Andhra Pradesh-534427",ANDHRA PRADESH,WEST GODAVARI,2020-01-16,"Haryana, UttarPradesh, Himachal, Punjab",Agro,uttarpradesh
Farm to Foreign Exports Entrepreneur Development Multi State Cooperative Society Ltd,"H.No. 6-9, Gundugolanu(P.O), Bhimadole (Mandal), Andhra Pradesh-534427",ANDHRA PRADESH,WEST GODAVARI,2020-01-16,"Haryana, UttarPradesh, Himachal, Punjab",Agro,himachal pradesh
Farm to Foreign Exports Entrepreneur Development Multi State Cooperative Society Ltd,"H.No. 6-9, Gundugolanu(P.O), Bhimadole (Mandal), Andhra Pradesh-534427",ANDHRA PRADESH,WEST GODAVARI,2020-01-16,"Haryana, UttarPradesh, Himachal, Punjab",Agro,punjab
Dharitri Jute and Eco Friendly Products Multi State Cooperative Society Ltd,"D.No.12-2-42111, Alapati Nagar, Gudimalkapur, Hyderabad-500028, Telangana",TELANGANA,ADILABAD,2019-12-12,"Bihar, West bengal, Odisha",Agro,bihar
Dharitri Jute and Eco Friendly Products Multi State Cooperative Society Ltd,"D.No.12-2-42111, Alapati Nagar, Gudimalkapur, Hyderabad-500028, Telangana",TELANGANA,ADILABAD,2019-12-12,"Bihar, West bengal, Odisha",Agro,west bengal
Dharitri Jute and Eco Friendly Products Multi State Cooperative Society Ltd,"D.No.12-2-42111, Alapati Nagar, Gudimalkapur, Hyderabad-500028, Telangana",TELANGANA,ADILABAD,2019-12-12,"Bihar, West bengal, Odisha",Agro,odisha
The Malabar Multi State Agro Cooperative Society Limited,"1st Floor, Aiswarya Complex, Thavakkara, Kannur, Kerala- 670002",KERALA,KANNUR,2019-10-20,"Haryana, Punajb",Agro,haryana
The Malabar Multi State Agro Cooperative Society Limited,"1st Floor, Aiswarya Complex, Thavakkara, Kannur, Kerala- 670002",KERALA,KANNUR,2019-10-20,"Haryana, Punajb",Agro,punajb
Sai Raam Multi State Agri Cooperative Society Ltd,"No.6. (D-18), 6th Cross West Extension, Thillai Nagar, Trichy, Tamil Nadu-620008",TAMIL NADU,DHARMAPURI,2019-06-12,"Manipur, Meghalaya",Agro,manipur
Sai Raam Multi State Agri Cooperative Society Ltd,"No.6. (D-18), 6th Cross West Extension, Thillai Nagar, Trichy, Tamil Nadu-620008",TAMIL NADU,DHARMAPURI,2019-06-12,"Manipur, Meghalaya",Agro,meghalaya
Prabhavana Multi State Womens? Jute and Allied Fibre Products Cooperative Society Ltd,", House. No 2-2-647/G/18/1, Near Shivam Road, DD Colony, Hyderabad, Telangana
500013",TELANGANA,ADILABAD,2019-09-27,"Maharashtra, Gujarat, Rajasthan",Agro,maharashtra
Prabhavana Multi State Womens? Jute and Allied Fibre Products Cooperative Society Ltd,", House. No 2-2-647/G/18/1, Near Shivam Road, DD Colony, Hyderabad, Telangana
500013",TELANGANA,ADILABAD,2019-09-27,"Maharashtra, Gujarat, Rajasthan",Agro,gujarat
Prabhavana Multi State Womens? Jute and Allied Fibre Products Cooperative Society Ltd,", House. No 2-2-647/G/18/1, Near Shivam Road, DD Colony, Hyderabad, Telangana
500013",TELANGANA,ADILABAD,2019-09-27,"Maharashtra, Gujarat, Rajasthan",Agro,rajasthan
The Gayatri Cooperative Urban Bank Ltd,"7-1,72, 73,74 Gayatri Towers, Tehsil Chowrasta, Jagtial Town, Dist. Jagtail, Telangana",TELANGANA,KARIMNAGAR,2019-08-23,"Gujarat, Rajasthan",Cooperative Bank,gujarat
The Gayatri Cooperative Urban Bank Ltd,"7-1,72, 73,74 Gayatri Towers, Tehsil Chowrasta, Jagtial Town, Dist. Jagtail, Telangana",TELANGANA,KARIMNAGAR,2019-08-23,"Gujarat, Rajasthan",Cooperative Bank,rajasthan
Shri Saibaba Multi State Cooperative Dudh Utpadak & Prakriya Sangh Ltd,"A/p Lohgaon, Tal- Rahata, Dist. Ahmednagar, PIN 413712 Maharashtra",MAHARASHTRA,AHMEDNAGAR,2019-06-08,"Maharashtra,Goa,Karnataka, Andhra Pradesh",Dairy,maharashtra
Shri Saibaba Multi State Cooperative Dudh Utpadak & Prakriya Sangh Ltd,"A/p Lohgaon, Tal- Rahata, Dist. Ahmednagar, PIN 413712 Maharashtra",MAHARASHTRA,AHMEDNAGAR,2019-06-08,"Maharashtra,Goa,Karnataka, Andhra Pradesh",Dairy,goa
Shri Saibaba Multi State Cooperative Dudh Utpadak & Prakriya Sangh Ltd,"A/p Lohgaon, Tal- Rahata, Dist. Ahmednagar, PIN 413712 Maharashtra",MAHARASHTRA,AHMEDNAGAR,2019-06-08,"Maharashtra,Goa,Karnataka, Andhra Pradesh",Dairy,karnataka
Shri Saibaba Multi State Cooperative Dudh Utpadak & Prakriya Sangh Ltd,"A/p Lohgaon, Tal- Rahata, Dist. Ahmednagar, PIN 413712 Maharashtra",MAHARASHTRA,AHMEDNAGAR,2019-06-08,"Maharashtra,Goa,Karnataka, Andhra Pradesh",Dairy,andhra pradesh
Subhiksha Organic Farmers Multi State Cooperative Society Ltd,"Krushi Nivasa, At Kuruvalli,Thirthahalli, Shimoga, Karnataka 577432",KARNATAKA,SHIMOGA,2019-03-07,"Andhra Pradesh, Telangna",Agro,andhra pradesh
Subhiksha Organic Farmers Multi State Cooperative Society Ltd,"Krushi Nivasa, At Kuruvalli,Thirthahalli, Shimoga, Karnataka 577432",KARNATAKA,SHIMOGA,2019-03-07,"Andhra Pradesh, Telangna",Agro,telangna
The Panipat Urban Cooperative Bank Ltd (PUCB),"510/8, G T Road,Panipat, Haryana 132103",HARYANA,PANIPAT,2019-05-14,"Madhya Pradesh, Chhatisgarh, Jharkhan, Bihar",Cooperative Bank,madhya pradesh
The Panipat Urban Cooperative Bank Ltd (PUCB),"510/8, G T Road,Panipat, Haryana 132103",HARYANA,PANIPAT,2019-05-14,"Madhya Pradesh, Chhatisgarh, Jharkhan, Bihar",Cooperative Bank,chhattisgarh
The Panipat Urban Cooperative Bank Ltd (PUCB),"510/8, G T Road,Panipat, Haryana 132103",HARYANA,PANIPAT,2019-05-14,"Madhya Pradesh, Chhatisgarh, Jharkhan, Bihar",Cooperative Bank,jharkhand
The Panipat Urban Cooperative Bank Ltd (PUCB),"510/8, G T Road,Panipat, Haryana 132103",HARYANA,PANIPAT,2019-05-14,"Madhya Pradesh, Chhatisgarh, Jharkhan, Bihar",Cooperative Bank,bihar
Green Earth Agro Cooperative Society Ltd,"3/170, Vishwas Khand, Gomti Society , Lucknow 226010, Uttar Pradesh",UTTAR PRADESH,LUCKNOW,2019-03-05,"Maharashtra, Gujarat, Rajasthan",Agro,maharashtra
Green Earth Agro Cooperative Society Ltd,"3/170, Vishwas Khand, Gomti Society , Lucknow 226010, Uttar Pradesh",UTTAR PRADESH,LUCKNOW,2019-03-05,"Maharashtra, Gujarat, Rajasthan",Agro,gujarat
Green Earth Agro Cooperative Society Ltd,"3/170, Vishwas Khand, Gomti Society , Lucknow 226010, Uttar Pradesh",UTTAR PRADESH,LUCKNOW,2019-03-05,"Maharashtra, Gujarat, Rajasthan",Agro,rajasthan
Bihar Cooperative Federation Ltd,"Budh Marg, Patna 800001, Bihar",BIHAR,PATNA,2018-03-10,"Gujarat, Rajasthan",Agro,gujarat
Bihar Cooperative Federation Ltd,"Budh Marg, Patna 800001, Bihar",BIHAR,PATNA,2018-03-10,"Gujarat, Rajasthan",Agro,rajasthan
Bharathi Cooperative Housing Society Ltd,"87-A, Perambur High Road, Perambur Post, Chennai 600011 Tamil Nadu",TAMIL NADU,CHENNAI,2018-05-18,"Haryana, Delhi",Housing,haryana
Bharathi Cooperative Housing Society Ltd,"87-A, Perambur High Road, Perambur Post, Chennai 600011 Tamil Nadu",TAMIL NADU,CHENNAI,2018-05-18,"Haryana, Delhi",Housing,delhi
